iter	Logloss
150	0.2505099414
151	0.2489661371
152	0.2476688885
153	0.2463359331
154	0.2452550335
155	0.244069829
156	0.2432283858
157	0.2423695311
158	0.2413286727
159	0.2401918912
160	0.2391776
161	0.2380401992
162	0.2373113537
163	0.2365103167
164	0.2355980514
165	0.2342432265
166	0.2330699662
167	0.2322457269
168	0.231160845
169	0.2301830018
170	0.2291267339
171	0.2279414123
172	0.2270941024
173	0.2263027737
174	0.2253373517
175	0.224182586
176	0.2232835154
177	0.22230283
178	0.221898687
179	0.220551525
180	0.219440323
181	0.2184726436
182	0.2174686318
183	0.2162075361
184	0.2154005603
185	0.2146839739
186	0.213734098
187	0.2127911388
188	0.2119219437
189	0.2109783585
190	0.21009052
191	0.2091513674
192	0.2082278397
193	0.207397997
194	0.2064392119
195	0.2057272979
196	0.204993337
197	0.2042925923
198	0.2034869472
199	0.2028212694
200	0.2016274713
201	0.200885824
202	0.1995176332
203	0.198837594
204	0.197792092
205	0.1968309653
206	0.1959970927
207	0.1949641094
208	0.1941471727
209	0.1931834021
210	0.1923344274
211	0.1913891225
212	0.1905811661
213	0.1899203802
214	0.1891433515
215	0.1881848977
216	0.1873088575
217	0.186321463
218	0.1856447821
219	0.1846321621
220	0.1837470947
221	0.1829654833
222	0.1822013113
223	0.1817379441
224	0.1812720508
225	0.1802237135
226	0.1792462379
227	0.178469666
228	0.1777671522
229	0.177319742
230	0.1766139109
231	0.1758306897
232	0.1752382748
233	0.1745676032
234	0.1740563925
235	0.173289609
236	0.1725714357
237	0.1719216558
238	0.1712818273
239	0.170309009
240	0.1696854979
241	0.1689913209
242	0.1683131071
243	0.1678788278
244	0.1673233133
245	0.1666504395
246	0.166184426
247	0.1656719092
248	0.1650739397
249	0.1645607295
250	0.1638252581
251	0.1634170766
252	0.1625203061
253	0.1621405699
254	0.1618306516
255	0.1613515015
256	0.1605598234
257	0.1597092718
258	0.1589717075
259	0.1582360093
260	0.157651119
261	0.1570415281
262	0.1566118707
263	0.1560320404
264	0.1555309363
265	0.1549258342
266	0.1544827403
267	0.1539973139
268	0.1533691019
269	0.1528606336
270	0.1522540956
271	0.1517074916
272	0.1512121239
273	0.1506377156
274	0.1501534616
275	0.1495358705
276	0.1489193143
277	0.1483544678
278	0.1480078775
279	0.1475664023
280	0.1470906475
281	0.1465134942
282	0.1459692267
283	0.1456453675
284	0.1450676213
285	0.1447439449
286	0.1442251515
287	0.1440174297
288	0.1434544932
289	0.1431393205
290	0.1426580547
291	0.1421016003
292	0.141665022
293	0.14120715
294	0.1406732725
295	0.1403291313
296	0.1400033871
297	0.1394875856
298	0.1391280396
299	0.1386923579
300	0.1382362183
301	0.1376660327
302	0.1373979639
303	0.1369104671
304	0.1363636052
305	0.1359496641
306	0.1355508009
307	0.135247785
308	0.1348808177
309	0.1344484834
310	0.1339895116
311	0.1335564443
312	0.133250686
313	0.132644985
314	0.1323315662
315	0.1319929777
316	0.1315009154
317	0.131167111
318	0.1307078065
319	0.1303990753
320	0.1299966111
321	0.1296491715
322	0.1293192947
323	0.1288870076
324	0.1285321213
325	0.128176813
326	0.127890005
327	0.1274931169
328	0.127208165
329	0.1267894361
330	0.1264692234
331	0.1262371073
332	0.1258046715
333	0.1252887162
334	0.1249005177
335	0.124541216
336	0.1240685814
337	0.123617023
338	0.1231822171
339	0.1229114462
340	0.1226730256
341	0.1222990369
342	0.1219737311
343	0.1216581142
344	0.1212437846
345	0.1208442227
346	0.1204057609
347	0.1201231738
348	0.1197875277
349	0.1192937534
350	0.1189888713
351	0.1187188261
352	0.1184245557
353	0.1180467869
354	0.1175866986
355	0.1171494111
356	0.1167685093
357	0.1162917265
358	0.1160258621
359	0.1156869667
360	0.1153269517
361	0.1150634542
362	0.114828393
363	0.1145454387
364	0.1142904792
365	0.1140081131
366	0.1136466049
367	0.1133164809
368	0.113038629
369	0.1124352073
370	0.112184548
371	0.1118689977
372	0.1115582492
373	0.1112696989
374	0.1109380211
375	0.1106406593
376	0.110433528
377	0.11015047
378	0.1099336467
379	0.1095437349
380	0.1091796633
381	0.1088369169
382	0.1084652508
383	0.108203671
384	0.1078993807
385	0.1075623454
386	0.1071039992
387	0.1066773205
388	0.1064764946
389	0.1061821551
390	0.1058658581
391	0.1056732675
392	0.1054235518
393	0.1051032241
394	0.1049063501
395	0.1045908281
396	0.1042839694
397	0.1040315033
398	0.1037998749
399	0.1035019385
400	0.1032041825
401	0.1028194545
402	0.1025645025
403	0.10225508
404	0.1019633811
405	0.1016764063
406	0.1013841271
407	0.1012275896
408	0.1009448192
409	0.100683148
410	0.1004570239
411	0.1001986069
412	0.09977972186
413	0.09949197695
414	0.09916500563
415	0.09881545939
416	0.09856659669
417	0.09836361253
418	0.09819242817
419	0.09785436438
420	0.0976669719
421	0.09740814294
422	0.09719097058
423	0.09688116281
424	0.09667599912
425	0.09640171136
426	0.09627048031
427	0.09604809319
428	0.09589030501
429	0.09559604467
430	0.09537505473
431	0.09502060013
432	0.09483933707
433	0.09464836213
434	0.09442233237
435	0.09417462308
436	0.09399855129
437	0.09375027669
438	0.09352589448
439	0.09336969817
440	0.09314898257
441	0.09301706545
442	0.09276100956
443	0.09260851101
444	0.092423584
445	0.09216942911
446	0.09197219271
447	0.09179568833
448	0.09157119569
449	0.09134371106
450	0.09115703162
451	0.09086565514
452	0.09068084909
453	0.09053090588
454	0.09026169444
455	0.09004941631
456	0.0898251214
457	0.08965084096
458	0.08939956621
459	0.08922315273
460	0.08898912525
461	0.08881314625
462	0.0886343643
463	0.0883999093
464	0.08825912303
465	0.08794579756
466	0.0877744022
467	0.08760732705
468	0.08741968415
469	0.0872503346
470	0.08711123136
471	0.08678200366
472	0.08664980002
473	0.08638439197
474	0.08621799949
475	0.08593705459
476	0.08566507352
477	0.08545682952
478	0.08521547087
479	0.08507758427
480	0.08484342294
481	0.08468978005
482	0.08456296609
483	0.08434655113
484	0.0841991091
485	0.08391853589
486	0.08377077347
487	0.08358707291
488	0.08343791923
489	0.08324334365
490	0.0830565766
491	0.08282790964
492	0.08263361292
493	0.08247988897
494	0.08230832166
495	0.08217290557
496	0.08199613781
497	0.0818623519
498	0.08167034028
499	0.08152435833
500	0.08116723586
501	0.08097295199
502	0.08080702102
503	0.08066480619
504	0.0805356993
505	0.08030938119
506	0.08017464833
507	0.07994890912
508	0.07983757251
509	0.07957565874
510	0.07941791108
511	0.07923134727
512	0.0790307413
513	0.0788669785
514	0.07870047971
515	0.07854251154
516	0.07839952161
517	0.07820806147
518	0.07796914361
519	0.07773733368
520	0.07758186308
521	0.07738418195
522	0.07724751982
523	0.07706601199
524	0.0769138717
525	0.07680402951
526	0.07653723116
527	0.0763752295
528	0.07617798978
529	0.07606982782
530	0.0759548746
531	0.07574633363
532	0.07562883592
533	0.07552782391
534	0.07536510451
535	0.075224964
536	0.07509227751
537	0.07486096354
538	0.07467335041
539	0.07449759035
540	0.07435558607
541	0.07424529575
542	0.0740146165
543	0.07387266604
544	0.07371227803
545	0.07356784262
546	0.07345119766
547	0.07335107804
548	0.07322220933
549	0.07306948321
550	0.07280440815
551	0.07269957552
552	0.07250779579
553	0.07237176146
554	0.07222090401
555	0.07204566629
556	0.07187856579
557	0.07172695663
558	0.07152811064
559	0.07139469883
560	0.07118562861
561	0.07097332033
562	0.07081645007
563	0.07073715559
564	0.07060239716
565	0.07042100857
566	0.07028865661
567	0.07021191571
568	0.07010385428
569	0.06994299783
570	0.0698057646
571	0.06966922554
572	0.0694368629
573	0.069308399
574	0.06912088671
575	0.06892008894
576	0.06880778174
577	0.06867935324
578	0.0685797011
579	0.06844539541
580	0.06830484381
581	0.06817347868
582	0.06801662277
583	0.06781544371
584	0.06762985926
585	0.06747496212
586	0.06737581238
587	0.06729491194
588	0.06716853407
589	0.06697618775
590	0.06685116548
591	0.06672184974
592	0.06664890351
593	0.06650693828
594	0.06635090436
595	0.06621392413
596	0.06602320504
597	0.06594176397
598	0.06582607456
599	0.06569742432
600	0.06554165068
601	0.06541130507
602	0.06532114292
603	0.06518483871
604	0.06501944684
605	0.06485078274
606	0.06468972131
607	0.06461111377
608	0.06444029519
609	0.06430141856
610	0.06413597504
611	0.06398043405
612	0.06381181375
613	0.06369925756
614	0.06354843345
615	0.06340139222
616	0.06327127883
617	0.06309810409
618	0.06300421136
619	0.06286900204
620	0.06274726524
621	0.06263984637
622	0.06244106602
623	0.06229725122
624	0.06218137649
625	0.06209461315
626	0.0619472564
627	0.06178339535
628	0.06170898027
629	0.06159641876
630	0.06151065315
631	0.06132407662
632	0.0612400637
633	0.06115333072
634	0.06099438299
635	0.06087209088
636	0.06080514553
637	0.06066177551
638	0.06057901177
639	0.06038226663
640	0.06028602657
641	0.06008732923
642	0.06002733718
643	0.05990503168
644	0.05973802691
645	0.05964766924
646	0.05953874056
647	0.05938772845
648	0.05927262203
649	0.05917572821
650	0.05910286182
651	0.05891699105
652	0.05882140281
653	0.0587057624
654	0.0585511713
655	0.05841214867
656	0.05828935817
657	0.05808830674
658	0.05795809508
659	0.05785521664
660	0.05774837532
661	0.05764204756
662	0.0574996863
663	0.05734124897
664	0.05717071872
665	0.05705998596
666	0.05690485375
667	0.05680989001
668	0.05659746428
669	0.05647297134
670	0.05640172989
671	0.05629835745
672	0.05621615708
673	0.05613980567
674	0.05605216358
675	0.05595379659
676	0.05582009075
677	0.05570883478
678	0.05558954477
679	0.05551157658
680	0.0553732499
681	0.0552404594
682	0.05515180259
683	0.0550575995
684	0.05495927458
685	0.05482990635
686	0.05467925264
687	0.05456047623
688	0.05446813334
689	0.05437780417
690	0.05426996335
691	0.05416491339
692	0.05406763118
693	0.05397391138
694	0.05388783185
695	0.05376485875
696	0.05366090921
697	0.05355230643
698	0.05342344496
699	0.05330632206
700	0.05314787636
701	0.05301813692
702	0.05291232297
703	0.05278953156
704	0.05270882116
705	0.05265962235
706	0.05257309763
707	0.05248734933
708	0.05240722006
709	0.05226799141
710	0.05213951559
711	0.05207257776
712	0.05197404838
713	0.05188707011
714	0.05180238917
715	0.05168266203
716	0.05159725098
717	0.05149876483
718	0.05138078299
719	0.05132453336
720	0.05124885705
721	0.05115925996
722	0.05106180229
723	0.05096185958
724	0.05082745824
725	0.05072689895
726	0.05063583248
727	0.05049583497
728	0.05040225013
729	0.0503143758
730	0.0502333163
731	0.05014776297
732	0.05008710495
733	0.05000221068
734	0.04989349849
735	0.04977423824
736	0.04966389076
737	0.04957135235
738	0.04950714284
739	0.04941422021
740	0.049276967
741	0.04918537434
742	0.04908624475
743	0.0489370193
744	0.04884138627
745	0.04873956594
746	0.04868140411
747	0.04864416909
748	0.04851314596
749	0.04845219063
750	0.04829106911
751	0.04820553882
752	0.04807918953
753	0.04795790235
754	0.04786158642
755	0.04780833825
756	0.04774097468
757	0.04768286728
758	0.04759950485
759	0.04751314715
760	0.04744635277
761	0.04737124907
762	0.04724923171
763	0.04719360898
764	0.04706594924
765	0.04699536242
766	0.04693960675
767	0.0468305662
768	0.04674685584
769	0.04665047436
770	0.04655714369
771	0.04648798884
772	0.04641182551
773	0.04636264354
774	0.04629686744
775	0.04621824443
776	0.04615089848
777	0.04611260859
778	0.04603169753
779	0.0459509969
780	0.04585487547
781	0.04579008341
782	0.0456660496
783	0.04560238878
784	0.04551451277
785	0.04547520274
786	0.0453723071
787	0.0452804664
788	0.04524092374
789	0.04517759368
790	0.04510258575
791	0.04500825773
792	0.04492662425
793	0.04484787413
794	0.04475738476
795	0.04474670964
796	0.04467094963
797	0.04459597777
798	0.04452356619
799	0.04442977416
800	0.04436377534
801	0.04428485351
802	0.04421025289
803	0.04412981833
804	0.04408222787
805	0.04397508696
806	0.04387611
807	0.04375545803
808	0.04369511448
809	0.04363796866
810	0.04358560803
811	0.04350678973
812	0.04345259537
813	0.04334159445
814	0.04327654312
815	0.04320228068
816	0.04309091024
817	0.0430099615
818	0.04297893567
819	0.04292636202
820	0.04288591916
821	0.0428033691
822	0.04273606244
823	0.04270075993
824	0.04263354523
825	0.04255423027
826	0.04247639799
827	0.04239733129
828	0.04233305489
829	0.04225222365
830	0.04217476147
831	0.04207840298
832	0.04200154303
833	0.04191515508
834	0.04184272546
835	0.04173745271
836	0.04165403633
837	0.04161353735
838	0.04152444596
839	0.04145877165
840	0.04139599057
841	0.04133281133
842	0.04122998815
843	0.04119783125
844	0.04114831452
845	0.04106273241
846	0.04095436729
847	0.04088873689
848	0.04081404307
849	0.04076678994
850	0.04067726094
851	0.04058674732
852	0.04052241328
853	0.04043856712
854	0.04037673613
855	0.0402997293
856	0.04024097093
857	0.04015582591
858	0.04006185978
859	0.03995003749
860	0.03988355417
861	0.03973965143
862	0.03969993833
863	0.03964720415
864	0.03959258759
865	0.03953362259
866	0.03946467693
867	0.03939492663
868	0.03932859207
869	0.03928329548
870	0.03921265933
871	0.03916651786
872	0.03908618452
873	0.03906684572
874	0.03898105605
875	0.03889780261
876	0.03883263657
877	0.03877942809
878	0.03869401176
879	0.03860802639
880	0.03856515491
881	0.03847909201
882	0.03839709212
883	0.03834463725
884	0.03825137421
885	0.03819668415
886	0.03813506769
887	0.03803895371
888	0.03798248736
889	0.03790647729
890	0.03783044844
891	0.03776586326
892	0.03770410554
893	0.03766149187
894	0.03760919788
895	0.03751633749
896	0.03747449626
897	0.03742125996
898	0.03735595538
899	0.03729001173
900	0.03725467111
901	0.03718307225
902	0.03712274523
903	0.03703275425
904	0.03695346898
905	0.03688765961
906	0.03682470566
907	0.03678895303
908	0.03675425874
909	0.03667108096
910	0.03664417561
911	0.03657173176
912	0.03654930475
913	0.03648841041
914	0.03643326694
915	0.03635110986
916	0.03631141268
917	0.0362695471
918	0.0361727056
919	0.03610389905
920	0.03604706532
921	0.0360120844
922	0.03596913225
923	0.03590965981
924	0.03585314474
925	0.03578294122
926	0.03572440532
927	0.03562726389
928	0.03557523247
929	0.03552281308
930	0.03547654131
931	0.03543028984
932	0.03538976632
933	0.03533764534
934	0.03528061193
935	0.03518368854
936	0.03511890678
937	0.0350609091
938	0.03498179333
939	0.03492161926
940	0.03487894471
941	0.03483724391
942	0.03478875765
943	0.03470460508
944	0.03466821879
945	0.03461064844
946	0.03456427978
947	0.03451231405
948	0.03446231339
949	0.03442717398
950	0.0343681997
951	0.03432143804
952	0.03426699474
953	0.03422105549
954	0.03417618034
955	0.03409344872
956	0.03404083241
957	0.03395817128
958	0.03388557935
959	0.03383477666
960	0.03382034395
961	0.03374622685
962	0.0337195052
963	0.03366275971
964	0.03362729517
965	0.03352667013
966	0.0334889302
967	0.03344162601
968	0.03337939997
969	0.03330198167
970	0.03325152531
971	0.03318777619
972	0.03313286995
973	0.03308046824
974	0.0330106094
975	0.03294874869
976	0.03290047813
977	0.03283143451
978	0.032793176
979	0.03274403542
980	0.03270794478
981	0.03267401347
982	0.03260400259
983	0.03255080262
984	0.03250011888
985	0.03244582973
986	0.03237074565
987	0.03231690035
988	0.03227149519
989	0.03221287809
990	0.03216276956
991	0.03208516564
992	0.03206165763
993	0.03204171699
994	0.03198089487
995	0.03193081006
996	0.0318916205
997	0.03182662159
998	0.03176478309
999	0.03171491094
